capture_to_processing_ms,processing_to_display_ms,end_to_end_latency_ms,capture_to_processing_avg_ms,capture_to_processing_worst_ms,processing_to_display_avg_ms,processing_to_display_worst_ms,end_to_end_avg_ms,end_to_end_worst_ms,dropped_audio_samples,missed_beat_detections
36.966443,5.008884,41.975327,36.966443,36.966443,5.008884,5.008884,41.975327,41.975327,0,0
0.623874,11.299499,11.923373,18.795158,36.966443,8.154191,11.299499,26.949350,41.975327,0,0
1.380861,4.559382,5.940243,12.990393,36.966443,6.955922,11.299499,19.946314,41.975327,0,0
0.664263,2.898556,3.562819,9.908860,36.966443,5.941580,11.299499,15.850441,41.975327,0,0
0.561856,13.775848,14.337704,8.039459,36.966443,7.508434,13.775848,15.547893,41.975327,0,0
0.807080,5.051625,5.858705,6.834063,36.966443,7.098966,13.775848,13.933029,41.975327,0,0
0.792283,2.256144,3.048427,5.970951,36.966443,6.407134,13.775848,12.378085,41.975327,0,0
0.773080,9.843730,10.616810,5.321217,36.966443,6.836709,13.775848,12.157926,41.975327,0,0
0.447207,4.195583,4.642790,4.779661,36.966443,6.543250,13.775848,11.322911,41.975327,0,0
0.842506,1.795993,2.638499,4.385945,36.966443,6.068524,13.775848,10.454470,41.975327,0,0
0.791487,2.885759,3.677246,4.059176,36.966443,5.779182,13.775848,9.838358,41.975327,0,0
0.910895,9.121966,10.032861,3.796820,36.966443,6.057747,13.775848,9.854567,41.975327,0,0
0.849895,7.454344,8.304239,3.570133,36.966443,6.165178,13.775848,9.735311,41.975327,0,0
0.856210,5.939094,6.795304,3.376281,36.966443,6.149029,13.775848,9.525310,41.975327,0,0
0.850246,3.977952,4.828198,3.207879,36.966443,6.004291,13.775848,9.212170,41.975327,0,0
0.862636,2.239551,3.102187,3.061301,36.966443,5.768994,13.775848,8.830296,41.975327,0,0
0.956636,8.388091,9.344727,2.937498,36.966443,5.923059,13.775848,8.860556,41.975327,0,0
0.453873,13.696515,14.150388,2.799518,36.966443,6.354918,13.775848,9.154436,41.975327,0,0
0.750653,6.753210,7.503863,2.691683,36.966443,6.375880,13.775848,9.067564,41.975327,0,0
0.935395,6.502135,7.437530,2.603869,36.966443,6.382193,13.775848,8.986062,41.975327,0,0
1.025433,6.417486,7.442919,2.528705,36.966443,6.383874,13.775848,8.912579,41.975327,0,0
0.505244,6.828229,7.333473,2.436730,36.966443,6.404072,13.775848,8.840801,41.975327,0,0
0.785764,4.128786,4.914550,2.364949,36.966443,6.305146,13.775848,8.670095,41.975327,0,0
0.697949,1.325860,2.023809,2.295490,36.966443,6.097676,13.775848,8.393166,41.975327,0,0
0.823486,7.581624,8.405110,2.236610,36.966443,6.157034,13.775848,8.393644,41.975327,0,0
0.831543,4.724160,5.555703,2.182569,36.966443,6.101923,13.775848,8.284492,41.975327,0,0
0.861894,7.555401,8.417295,2.133655,36.966443,6.155756,13.775848,8.289411,41.975327,0,0
0.606207,5.853353,6.459560,2.079104,36.966443,6.144956,13.775848,8.224059,41.975327,0,0
1.566195,5.033329,6.599524,2.061417,36.966443,6.106624,13.775848,8.168041,41.975327,0,0
0.595133,3.760969,4.356102,2.012541,36.966443,6.028435,13.775848,8.040976,41.975327,0,0
0.457948,1.653103,2.111051,1.962393,36.966443,5.887296,13.775848,7.849688,41.975327,0,0
0.727578,7.777014,8.504592,1.923805,36.966443,5.946349,13.775848,7.870154,41.975327,0,0
0.678968,6.790303,7.469271,1.886082,36.966443,5.971924,13.775848,7.858006,41.975327,0,0
0.660745,4.952717,5.613462,1.850043,36.966443,5.941947,13.775848,7.791990,41.975327,0,0
0.412781,3.344873,3.757654,1.808978,36.966443,5.867745,13.775848,7.676723,41.975327,0,0
0.558189,10.835218,11.393407,1.774234,36.966443,6.005730,13.775848,7.779964,41.975327,0,0
0.532244,1.206415,1.738659,1.740667,36.966443,5.876019,13.775848,7.616686,41.975327,0,0
0.714857,8.691334,9.406191,1.713672,36.966443,5.950106,13.775848,7.663778,41.975327,0,0
0.641801,7.787217,8.429018,1.686188,36.966443,5.997212,13.775848,7.683400,41.975327,0,0
0.567059,5.782556,6.349615,1.658210,36.966443,5.991845,13.775848,7.650055,41.975327,0,0
0.573986,4.713345,5.287331,1.631765,36.966443,5.960662,13.775848,7.592428,41.975327,0,0
0.537133,2.142217,2.679350,1.605703,36.966443,5.869747,13.775848,7.475450,41.975327,0,0
0.492818,1.551103,2.043921,1.579822,36.966443,5.769313,13.775848,7.349135,41.975327,0,0
0.260761,9.477932,9.738693,1.549843,36.966443,5.853600,13.775848,7.403443,41.975327,0,0
0.390188,11.060960,11.451148,1.524073,36.966443,5.969319,13.775848,7.493392,41.975327,0,0
1.132007,8.403444,9.535451,1.515550,36.966443,6.022235,13.775848,7.537785,41.975327,0,0
0.453003,5.950927,6.403930,1.492942,36.966443,6.020718,13.775848,7.513660,41.975327,0,0
0.237706,5.145885,5.383591,1.466792,36.966443,6.002492,13.775848,7.469284,41.975327,0,0
0.400576,6.950379,7.350955,1.445032,36.966443,6.021837,13.775848,7.466869,41.975327,0,0
0.467152,4.394676,4.861828,1.425475,36.966443,5.989294,13.775848,7.414768,41.975327,0,0
0.562356,1.362138,1.924494,1.408551,36.966443,5.898565,13.775848,7.307116,41.975327,0,0
1.592325,7.617438,9.209763,1.412085,36.966443,5.931620,13.775848,7.343705,41.975327,0,0
0.969080,5.857130,6.826210,1.403726,36.966443,5.930215,13.775848,7.333941,41.975327,0,0
0.610541,5.174700,5.785241,1.389038,36.966443,5.916224,13.775848,7.305261,41.975327,0,0
1.461880,2.631758,4.093638,1.390362,36.966443,5.856506,13.775848,7.246868,41.975327,0,0
0.579430,11.112868,11.692298,1.375881,36.966443,5.950370,13.775848,7.326251,41.975327,0,0
0.264428,2.967816,3.232244,1.356382,36.966443,5.898044,13.775848,7.254426,41.975327,0,0
0.566948,11.379888,11.946836,1.342771,36.966443,5.992559,13.775848,7.335330,41.975327,0,0
0.604560,2.603350,3.207910,1.330259,36.966443,5.935115,13.775848,7.265374,41.975327,0,0
0.547244,1.389676,1.936920,1.317209,36.966443,5.859357,13.775848,7.176566,41.975327,0,0
0.343410,8.961725,9.305135,1.301245,36.966443,5.910216,13.775848,7.211461,41.975327,0,0
1.509454,8.024367,9.533821,1.304603,36.966443,5.944315,13.775848,7.248918,41.975327,0,0
0.493466,7.146825,7.640291,1.291728,36.966443,5.963402,13.775848,7.255130,41.975327,0,0
0.587522,6.567691,7.155213,1.280725,36.966443,5.972844,13.775848,7.253569,41.975327,0,0
0.524282,5.460276,5.984558,1.269087,36.966443,5.964959,13.775848,7.234046,41.975327,0,0
0.240743,6.038909,6.279652,1.253506,36.966443,5.966079,13.775848,7.219585,41.975327,0,0
0.525411,2.768073,3.293484,1.242639,36.966443,5.918348,13.775848,7.160987,41.975327,0,0
1.000321,2.430830,3.431151,1.239075,36.966443,5.867061,13.775848,7.106136,41.975327,0,0
0.602782,2.594758,3.197540,1.229854,36.966443,5.819636,13.775848,7.049490,41.975327,0,0
0.348799,2.454034,2.802833,1.217267,36.966443,5.771556,13.775848,6.988823,41.975327,0,0
1.730456,2.468479,4.198935,1.224495,36.966443,5.725034,13.775848,6.949529,41.975327,0,0
0.907932,0.786116,1.694048,1.220099,36.966443,5.656438,13.775848,6.876536,41.975327,0,0
0.563522,7.592753,8.156275,1.211104,36.966443,5.682963,13.775848,6.894067,41.975327,0,0
0.256298,5.611110,5.867408,1.198202,36.966443,5.681992,13.775848,6.880193,41.975327,0,0
0.595726,6.685414,7.281140,1.190169,36.966443,5.695371,13.775848,6.885539,41.975327,0,0
0.461429,6.679932,7.141361,1.180580,36.966443,5.708325,13.775848,6.888905,41.975327,0,0
0.458022,5.133533,5.591555,1.171196,36.966443,5.700861,13.775848,6.872057,41.975327,0,0
0.296984,2.174625,2.471609,1.159988,36.966443,5.655652,13.775848,6.815641,41.975327,0,0
0.836875,1.432676,2.269551,1.155898,36.966443,5.602197,13.775848,6.758095,41.975327,0,0
